"id","code","name"
"ocupacao_231","213115","Físico (atômica e molecular)"
"ocupacao_232","213120","Físico (cosmologia)"
"ocupacao_233","213130","Físico (fluidos)"
"ocupacao_234","213135","Físico (instrumentação)"
"ocupacao_235","213140","Físico (matéria condensada)"
"ocupacao_236","213170","Físico (plasma)"
"ocupacao_237","213175","Físico (térmica)"
"ocupacao_238","213210","Químico industrial"
"ocupacao_239","213205","Químico"
"ocupacao_240","213215","Tecnólogo em processos químicos"
"ocupacao_241","213315","Meteorologista"
"ocupacao_242","213310","Geofísico espacial"
"ocupacao_243","213305","Astrônomo"
"ocupacao_244","213440","Oceanógrafo"
"ocupacao_245","213430","Paleontólogo"
"ocupacao_246","213425","Hidrogeólogo"
"ocupacao_247","213420","Geoquímico"
"ocupacao_248","213415","Geofísico"
"ocupacao_249","213410","Geólogo de engenharia"
"ocupacao_250","213405","Geólogo"
"ocupacao_251","213435","Petrógrafo"
"ocupacao_252","214010","Tecnólogo em meio ambiente"
"ocupacao_253","214005","Engenheiro ambiental"
"ocupacao_254","214120","Arquiteto paisagista"
"ocupacao_255","214115","Arquiteto de patrimônio"
"ocupacao_256","214110","Arquiteto de interiores"
"ocupacao_257","214105","Arquiteto de edificações"
"ocupacao_258","214130","Urbanista"
"ocupacao_259","214125","Arquiteto urbanista"
"ocupacao_260","214245","Engenheiro civil (pontes e viadutos)"
"ocupacao_261","214250","Engenheiro civil (portos e vias navegáveis)"
"ocupacao_262","214255","Engenheiro civil (rodovias)"
"ocupacao_263","214260","Engenheiro civil (saneamento)"
"ocupacao_264","214265","Engenheiro civil (túneis)"
"ocupacao_265","214270","Engenheiro civil (transportes e trânsito)"
"ocupacao_266","214240","Engenheiro civil (hidráulica)"
"ocupacao_267","214235","Engenheiro civil (hidrologia)"
"ocupacao_268","214230","Engenheiro civil (geotécnia)"
"ocupacao_269","214225","Engenheiro civil (ferrovias e metrovias)"
"ocupacao_270","214280","Tecnólogo em construção civil"
"ocupacao_271","214215","Engenheiro civil (edificações)"
"ocupacao_272","214210","Engenheiro civil (aeroportos)"
"ocupacao_273","214205","Engenheiro civil"
"ocupacao_274","214220","Engenheiro civil (estruturas metálicas)"
"ocupacao_275","214365","Tecnólogo em eletrônica"
"ocupacao_276","214370","Tecnólogo em telecomunicações"
"ocupacao_277","214305","Engenheiro eletricista"
"ocupacao_278","214310","Engenheiro eletrônico"
"ocupacao_279","214315","Engenheiro eletricista de manutenção"
